UID,MID,发布时间,微博内容,微博链接,发布者昵称,发布来源,主页链接,转发数,评论数,点赞数,博主昵称,性别,个人签名,粉丝数,关注数,所属IP地址,微博数,是否认证,头像链接,媒体类型,log10,认证类型
1002984302	,4852894379024326	,2023-01-01 00:20:00,1.vx小c序：农夫山泉好水旺财兔年吉祥抽兔年水2.小荭书搜雅诗兰黛冻龄白金面霜,https://weibo.com/1002984302/Mmc1vBRDE?refer_flag=1001030103_,猪八戒拱白菜,微博 weibo.com,https://weibo.com/1002984302?refer_flag=1001030103_,0,0,0,猪八戒拱白菜,男,大家好！我是二师兄~,347150,29,福建 福州,207933,True,"https://tvax4.sinaimg.cn/crop.0.20.426.426.180/3bc8536ely8fsoil52ok3j20bu0dwaaa.jpg?KID=imgbed,tva&Expires=1710136312&ssig=6IQzEclc3Y",公共媒体,5.540517169592572,微博个人认证(黄V)
1861726655	,4852894366707042	,2023-01-01 00:20:00,1.vx小c序：农夫山泉好水旺财兔年吉祥抽兔年水2.小荭书搜雅诗兰黛冻龄白金面霜,https://weibo.com/1861726655/Mmc1us8O6?refer_flag=1001030103_,小新白菜王,微博 weibo.com,https://weibo.com/1861726655?refer_flag=1001030103_,0,0,1,小新白菜王,男,限流进主页  个人博,351883,30,福建 福州,232621,False,"https://tvax4.sinaimg.cn/crop.0.0.177.177.180/6ef7b1bfly8gxd6fyqo11j204x04ymwz.jpg?KID=imgbed,tva&Expires=1710136313&ssig=%2FDjyiNV77m",公共媒体,5.546398285918649,无认证
3461118710	,4852894283609407	,2023-01-01 00:20:00,拼多多百亿补贴拼团超话NFC农夫山泉只差一个了,https://weibo.com/3461118710/Mmc1mf8Yf?refer_flag=1001030103_,存钱1号,拼多多百亿补贴拼团超话,https://weibo.com/3461118710?refer_flag=1001030103_,0,0,0,存钱1号,男,,1,95,安徽 安庆,39,False,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/ce4c7af6ly8hbvb20w7ydj20u00u0acg.jpg?KID=imgbed,tva&Expires=1710136313&ssig=JO7n9wMsT3",nan,nan,无认证
7386583071	,4852894165634343	,2023-01-01 00:19:00,vx小c序：农夫山泉好水旺财兔年吉祥抽兔年水,https://weibo.com/7386583071/Mmc1anDKv?refer_flag=1001030103_,线报小郎君,微博 weibo.com,https://weibo.com/7386583071?refer_flag=1001030103_,0,0,0,线报小郎君,男,关注我，日常安利分享,10140,59,浙江,27005,False,"https://tvax3.sinaimg.cn/crop.0.0.479.479.180/0083TlGDly8hkxtl2i7suj30db0dbaac.jpg?KID=imgbed,tva&Expires=1710136314&ssig=ZrGOty706A",公共媒体,4.006037954997317,无认证
6975808865	,4852890361139756	,2023-01-01 00:04:00,拼多多拼团群超话农夫山泉nfc果汁,https://weibo.com/6975808865/MmbV24Mva?refer_flag=1001030103_,Tucker201901,拼多多拼团群超话,https://weibo.com/6975808865?refer_flag=1001030103_,0,0,0,Tucker201901,男,,28,591,其他,189,False,"https://tvax4.sinaimg.cn/crop.0.0.996.996.180/007C5Mydly8gk8uc7942uj30ro0roq82.jpg?KID=imgbed,tva&Expires=1710136315&ssig=j29ERQr8rg",nan,nan,无认证
5645584808	,4852889623739785	,2023-01-01 00:01:00,"#2022年终总结#整理了下这一整年的生活碎片就像把2022收拾好再跟它告别📦我的生命时刻在跳动、更新、寓瞬息于无穷的光焰这一年内心自我的起伏变化似乎更大了买了车落了户成为了农夫山泉年纪最小的管理层但是有些深陷痛苦的时刻只有自己知道进步是更加敢于做自己内心也更加地有力量感了更加清晰地认识到：我人生的课题不必急求答案但不能停止解题因为我的人生里有太多爱的人要去守护2023是一个真正意义上的新的启程已为自己设定了动身的目的地我深知它需要更大的勇气和信心希望自己时刻保持对生活的敬畏不要停止感受与思考最后希望自己带着这段话走进2023：Ifyoucan’tfly,run;ifyoucan’trun,walk;ifyoucan’twalk,crawl.Butbyallmeans,keepmoving.———MartinLutherKing收起d",https://weibo.com/5645584808/MmbTQfGT7?refer_flag=1001030103_,小邓的星河,iPhone客户端,https://weibo.com/5645584808?refer_flag=1001030103_,0,6,3,小邓的星河,女,且行且随风,1907,446,其他,929,False,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006a4ivuly8hkya18hhknj30u00u0mzj.jpg?KID=imgbed,tva&Expires=1710136315&ssig=Gco9Rpk34G",nan,nan,无认证
1556514185	,4852889169716139	,2023-01-01 00:00:00,肖战超话#2023给肖战的心愿锦囊#xz#非正式跨年派对#xz#肖战骄阳伴我#肖烟四起，为战而来；肖战的腰，夺命的刀；肖战的笑，上瘾的药；农夫山泉有点甜，不爱肖战有点悬；肖战2个字看起来太独特，读起来太骄傲，写起来太顺手低调低调；战哥驾到，不要掌声，只要尖叫吾等愿陪公子直到永远@X玖少年团肖战DAYTOY肖战平安喜乐，顺顺利利，未来可期！#肖战#xz#肖战肖战工作室#肖战好帅！肖战我喜欢你我喜欢肖战@肖战工作室一起在演唱的《我们都将奔赴美好未来》中感受热爱与逐梦不止的激情。L精彩直播片段收起d,https://weibo.com/1556514185/MmbT6ELBV?refer_flag=1001030103_,冬雪叶飘零,肖战超话,https://weibo.com/1556514185?refer_flag=1001030103_,0,18,4,冬雪叶飘零,女,,1697,3872,河南 平顶山,21524,True,"https://tvax2.sinaimg.cn/crop.0.0.996.996.180/001HkYrvly8gv4w1zzh3sj60ro0romyw02.jpg?KID=imgbed,tva&Expires=1710136317&ssig=z%2FANqXS%2FI0",nan,nan,微博个人认证(黄V)
5499929678	,4853070130053257	,2023-01-01 00:16:00,抱歉，此微博已被作者删除。查看帮助：O网页链接,https://weibo.com//MmbZP7mbl?refer_flag=1001030103_,4everXKs,NULL,https://weibo.com/5499929678?refer_flag=1001030103_,0,0,0,4everXKs,女,点进我主页默认碗盆甄姬 镇魂,797,1005,海外 澳大利亚,3836,False,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/0060d8Xcly8hlsn33tzwzj30e80e80ta.jpg?KID=imgbed,tva&Expires=1710136319&ssig=oE%2BINYINW%2F",nan,nan,无认证
1766398370	,4853069969366065	,2023-01-01 11:58:00,【打扰啦！整理了pdd好价合集🉑小伙伴们快去逛逛鸭👇】微博正文【29.9】康乐洁n95口罩30只微博正文【17.9】皖云昭N95民用口罩50只微博正文【39.9】美庄臣n95口罩*30只微博正文【39.9】美庄臣n95防护口罩*30只微博正文【28.9】宏米n95口罩25只微博正文【28.9】宏米n95医用防护口罩25只微博正文【32.9】盛恩泰n95口罩25只微博正文【36】K5pro酒精消毒喷雾器微博正文【9.9】好巴食豆腐干30包微博正文【115】满家乐海南椰子鸡2290g微博正文【41.92】芬腾玻尿酸无痕保暖套装微博正文【49】芬腾羊毛蚕丝秋衣秋裤套装微博正文【29.9】芬腾内内*3条微博正文【19.9】楂小赞碧根果500g微博正文【27】都乐黄桃罐头665g*2罐微博正文【29.8】OATLY巧克力燕麦奶1L*3瓶微博正文【10.9】300只垃圾袋微博正文【29.9】她研社安心裤12片微博正文【49.9】花王乐而雅姨妈巾72片微博正文【19.5】统一海之言饮料330ml*12瓶微博正文【14.9】妖制气垫粉扑*3枚微博正文【24.9】维达抽纸3层100抽*24包微博正文【24.9】莫小仙自热米饭*3盒微博正文【19.9】网易严选保鲜盒10件套微博正文【68】沃隆每日坚果大礼包770g微博正文【69】颐莲喷雾300ml*2瓶微博正文【29.9】美享时刻烤肠*20根微博正文【38.9】九日果汁饮料238ml*10罐微博正文【25.9】米蓓尔蓝绷带面莫6g*8包微博正文【14.9】北月湾乳酸酥330g微博正文【48.9】农夫山泉纽荷尔脐橙3kg微博正文【41.88】牛奶草莓3斤大果收起d,https://weibo.com/1766398370/MmgAIDixz?refer_flag=1001030103_,大可拱白菜,微博 weibo.com,https://weibo.com/1766398370?refer_flag=1001030103_,0,0,7,大可拱白菜,女,一个可爱的可。用心 真心❤️,1102483,105,海外 其他,742312,True,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/694919a2ly8hkslsr8tv4j20e80e8dgg.jpg?KID=imgbed,tva&Expires=1710136319&ssig=4l975eHGT1",公共媒体,6.042371901483991,微博个人认证(红V)
6079542035	,4853069819691038	,2023-01-01 11:00:00,#好水旺财兔年吉祥#发现农夫山泉已经连续8年春节前夕推出“限量”且“只送不卖”的生肖版玻璃瓶水了。最近新推出的金兔水，设计真的也堪称一绝，有着媲美奢侈品大牌质感，农夫山泉通过用瓶身展现长白山的生态文化，把大自然与动物的奇妙关系凝结在瓶身之中，瓶身上的兔子图案细腻逼真，既精致又有内涵，高级感满满！限量十万套，参与方式是无门槛的小程序抽奖，微信搜索小程序“好水旺财兔年吉祥”就可以参与，心动时刻！#农夫山泉生肖典藏#是真的好好看，都来抽！收起d,https://weibo.com/5749767678/Mmgd0hlFM?refer_flag=1001030103_,crush-baby-,微博  weibo.com,https://weibo.com/6079542035?refer_flag=1001030103_,0,0,0,crush-baby-,女,不忘初心，方得始终,137,285,北京 平谷区,6934,False,"https://tvax3.sinaimg.cn/crop.0.0.960.960.180/006Dr8BBly8h2sylqukstj30qo0qojtx.jpg?KID=imgbed,tva&Expires=1710136320&ssig=%2FVVryMRSVt",nan,nan,无认证
