时间,文本,识别结果,消极概率,积极概率
2024-04-21 22:56:54,然后T舍友要求还挺多，什么七分糖，加这个加那个什么的，昨天中午一点钟，Y哥提了一兜子奶茶去女朋友宿舍楼下，打电话却得知女朋友在睡觉，女朋友让他等到一点半，于是一点四十T下楼拿奶茶，此时等候多时的Y哥一脸不高兴的递过去奶茶,消极,0.93318284,0.06681714
2024-04-21 22:56:54,T便生气了，接过奶茶后，把奶茶钱转给了他捏，然后说原本计划出去旅游的车票她已经退了，不出去玩了，Y哥破大防，回宿舍趴在桌子上一动不动，哥几个正在打游戏 被吓了一跳，🐭🐭去安慰，他沉默不语，后来过了一会跟🐭🐭说了这些,消极,0.98040193,0.0195981
2024-04-21 22:56:54,快马加编,积极,0.21576083,0.7842392
2024-04-21 22:56:54,这里他也是很痛苦,消极,0.8788177,0.121182404
2024-04-21 22:56:54,直到晚上，他眉飞色舞的跟鼠鼠说解决了，都是他的错，他不该摆出那个表情，T拿出分手威胁他，他给T下跪了求她原谅,中性,0.5471372,0.45286277
2024-04-21 22:56:54,鼠鼠表示震惊，鼠鼠告诉他；你甜蜜大男人，你的膝盖可以跪父母跪师长，你居然为了这事给一个女人下跪？,消极,0.9832828,0.016717209
2024-04-21 22:56:54,可是他觉得事情解决了不是很好吗,积极,0.15522593,0.84477407
2024-04-21 22:56:54,因为自己对女朋友露出了不耐烦的表情，所以被认定为直男，因为跟女朋友说不想给她舍友买东西，所以被认定为直男捏,消极,0.99704224,0.0029577734
2024-04-21 22:56:54,🤡,积极,0.22111005,0.77889
2024-04-21 22:56:54,恶有恶报,消极,0.94138265,0.058617402
2024-04-21 22:56:54,舍友也是真dinner，买不起奶茶可以去站一下street,积极,0.10990713,0.89009285
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,"3
+3",消极,0.93398994,0.06601012
2024-04-21 22:56:54,＋3,中性,0.5099144,0.49008557
2024-04-21 22:56:54,挂我是吧,消极,0.801863,0.19813702
2024-04-21 22:56:54,好好好,积极,0.04844324,0.9515567
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,cy,积极,0.07902085,0.92097914
2024-04-21 22:56:54,+3,消极,0.91197044,0.08802951
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,+3,消极,0.91197044,0.08802951
2024-04-21 22:56:54,绕场🐢♂️,中性,0.5905708,0.40942925
2024-04-21 22:56:54,👻男是真的恶新,消极,0.72934115,0.27065885
2024-04-21 22:56:54,逆天,积极,0.27555278,0.72444725
2024-04-21 22:56:54,锁死，不要放出来害人,消极,0.95314413,0.046855904
2024-04-21 22:56:54,廖戴维,积极,0.38008776,0.61991227
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,后续呢,消极,0.79425514,0.2057449
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,fw，不过好似,消极,0.60091454,0.3990855
2024-04-21 22:56:54,不如我q群一兄弟网上给主播打了2k，最后就约个会就完事了宾馆都没去成，约会吃饭的钱还是那兄弟自己掏的，给大家乐完了,消极,0.9970499,0.0029500085
2024-04-21 22:56:54,+3,消极,0.91197044,0.08802951
2024-04-21 22:56:54,➕3,中性,0.42790905,0.5720909
2024-04-21 22:56:54,什么直男会微信跟兄弟倾诉这么多这么细感情事，感觉是个内心自卑的娘炮,消极,0.605057,0.39494306
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,已阅，吃根面包先,消极,0.9592032,0.040796798
2024-04-21 22:56:54,很厉害,积极,0.09371153,0.9062885
2024-04-21 22:56:54,评价是丕瘾控制大脑,消极,0.6603368,0.33966324
2024-04-21 22:56:54,只能说好似,消极,0.8657961,0.13420399
2024-04-21 22:56:54,快删了吧 真恶心啊,中性,0.44148368,0.5585163
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,沸羊羊都是这么个说法，舍友就是,消极,0.72468084,0.27531922
2024-04-21 22:56:54,kdg,积极,0.3601385,0.63986146
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,字多不看，来个8uu，总结一↓,消极,0.94491374,0.055086285
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,"
有星入相，西北封侯",积极,0.06374421,0.93625575
2024-04-21 22:56:54,逆天,积极,0.27555278,0.72444725
2024-04-21 22:56:54,"
8说了，8说了
经验＋3",消极,0.9644101,0.0355899
2024-04-21 22:56:54,从后面买奶茶我就知道是小丑了,中性,0.48517314,0.51482683
2024-04-21 22:56:54,加3,消极,0.6624758,0.33752415
2024-04-21 22:56:54,幼稚男人一个捏，不用管，让小仙男小仙女锁死吧,中性,0.49123827,0.5087618
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,和你说这么多他好爱你,中性,0.5194412,0.4805588
2024-04-21 22:56:54,臣闻产犊于羊圈，长无为羊也。君处孙吧乎！耳目常施，而失交音，岂理欤？其所以强者，以承祖宗之礼艺也。夫停手银，自力无释，而转劳，岂非舍本而求末者哉？莫之入此，必有天之大祸也！,消极,0.9913191,0.008680818
2024-04-21 22:56:54,让乱军心者，杀!不战而退者，杀!,消极,0.9799891,0.020010833
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,孙吧就是好 不是老鼠就是小丑,消极,0.6417709,0.3582291
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,“我有一个朋友”,消极,0.9161883,0.08381171
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,集霸们别急，他后面肯定会整出新活的。🐭🐭比他还了解他自己，现在他女朋友已经开始用分手来威胁他了，他后面肯定有活,积极,0.29084054,0.7091595
2024-04-21 22:56:54,丢人,消极,0.9409895,0.059010506
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,加三,消极,0.842419,0.15758103
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,🤡,积极,0.22111005,0.77889
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,4,消极,0.63605744,0.3639425
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,水,中性,0.4970145,0.5029855
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,好好好,积极,0.04844324,0.9515567
2024-04-21 22:56:54,👻男私一私啊,中性,0.59597087,0.4040292
2024-04-21 22:56:54,挺好,积极,0.17929299,0.820707
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,典,积极,0.17243892,0.82756114
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,太长了懒得看3333,消极,0.9713954,0.028604614
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,室友纯dinner,积极,0.03927865,0.9607214
2024-04-21 22:56:54,下跪的纯小丑，拿图说话,积极,0.39354184,0.6064581
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,呼呼呼,消极,0.95039153,0.049608514
2024-04-21 22:56:54,+3,消极,0.91197044,0.08802951
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,赶紧锁死，别分,消极,0.96566254,0.03433749
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,被拿捏了的老实人，情感市场中的炮灰，对面一点pua输出就投降，患得患失担心失去她怎么办，把事物的对错决定评判权交给别人，赔钱的货,消极,0.91658163,0.08341835
2024-04-21 22:56:54,gkd,积极,0.29706046,0.70293957
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,我前女友也是不会考虑我的感受，情商低，我付出得不到回报，快给我整玉玉了都，还好分了,消极,0.9511728,0.048827235
2024-04-21 22:56:54,意满离,积极,0.20597392,0.794026
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,又是🐢楠，塔吗的,消极,0.6856392,0.3143608
2024-04-21 22:56:54,太长，不看,消极,0.9676415,0.03235856
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,"楼主，我要告诉你一个秘密，
1、请看5
2、答案请看11
3、别生气，请看15
4、冷静，请看13
5、首先请看2
6、不要生气，请看12
7、我只想告诉你，经验+3！
8、我想告诉你答案在14
9、请耐心的看4
10、这是我最后一次这样做了请看7
11、当让你看6时，我希望你不要生气
12、抱歉，请看8
13、不要生气，请看10
14、我不知道怎麽说，但请看3
15、你一定十分生气，但请看9",消极,0.99302626,0.0069737243
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,3,中性,0.4756149,0.52438515
2024-04-21 22:56:54,+3,消极,0.91197044,0.08802951
2024-04-21 22:56:54,说实话，你这朋友赢太多了，我比他还逆天。我先上个厕所，回来再跟你们说,消极,0.90522903,0.09477097
